record_type,date,client_name,description,amount,status,linked_feature,linked_service,contract_id,payment_terms,days_overdue,probability,notes
revenue,2025-12-15,Brainrot Pro,User subscriptions - December,1200.00,collected,,,,monthly,0,,~80 paying users @ $14.99/mo. Ad-free + exclusive filters.
revenue,2026-01-15,Brainrot Pro,User subscriptions - January,1800.00,collected,,,,monthly,0,,~120 paying users @ $14.99/mo. Growing with MAU.
revenue,2026-02-15,Brainrot Pro,User subscriptions - February,2100.00,collected,,,,monthly,0,,~140 paying users @ $14.99/mo. Growth slowing.
revenue,2026-03-15,Brainrot Pro,User subscriptions - March (partial),2400.00,collected,,,,monthly,0,,~160 paying users @ $14.99/mo. Feed quality decline hurting conversion.
invoice,2026-02-01,Drip Culture Agency,Branded content pilot - creator campaign mgmt,6000.00,overdue,Analytics Dashboard,analytics-pipeline,INV-2026-008,Net 30,56,,Sent 3 follow-ups. Agency claims campaign metrics deliverable incomplete.
invoice,2026-03-01,Drip Culture Agency,Branded content pilot - month 2,6000.00,overdue,Analytics Dashboard,analytics-pipeline,INV-2026-014,Net 30,27,,Withholding until first invoice dispute resolved
pipeline,2025-11-15,VibeCheck Media,Enterprise brand partnership platform - Branded Content SDK,516000.00,negotiating,Branded Content SDK,feed-service,CTR-DRAFT-052,Prepaid Annual,0,0.70,"Annual value. Top Gen Z media company. Wants native branded content tools inside Brainrot. Contingent on Branded Content SDK completion. LOI signed."
pipeline,2026-01-10,VibeCheck Media,Enterprise brand deal - verbal commitment,516000.00,verbal_commit,Branded Content SDK,feed-service,CTR-DRAFT-052,Prepaid Annual,0,0.85,"VP of Partnerships saw SDK demo Jan 8. Wants Branded Content SDK live before signing. Would bring 200+ brand advertisers onto Brainrot."
pipeline,2026-02-20,VibeCheck Media,Enterprise brand deal - procurement started,516000.00,procurement,Branded Content SDK,feed-service,CTR-DRAFT-052,Prepaid Annual,0,0.80,"Procurement engaged. Legal reviewing. Hard requirement: Branded Content SDK deployed by April 15 or deal collapses. VibeCheck evaluating competitor Fizz."
pipeline,2026-03-15,VibeCheck Media,Enterprise brand deal - at risk,516000.00,at_risk,Branded Content SDK,feed-service,CTR-DRAFT-052,Prepaid Annual,0,0.30,"*** VibeCheck CEO emailed asking for status on SDK. Engineer 3 on leave — sole architect of feed-service and SDK. No one else has context. Deadline April 15. They're talking to Fizz."
pipeline,2025-12-01,NovaBrands Inc,Mid-market deal - in-app commerce integration,108000.00,negotiating,In-App Shopping,api-gateway,CTR-DRAFT-019,Net 60,0,0.40,Early conversations. Gen Z commerce play. Not dependent on Branded Content SDK.
pipeline,2026-02-15,NovaBrands Inc,Mid-market deal - follow up,108000.00,stalled,In-App Shopping,api-gateway,CTR-DRAFT-019,Net 60,0,0.20,Champion (Head of Digital) left NovaBrands. Deal likely dead.
pipeline,2026-01-20,StudyHive,Small pilot - edu-creator onboarding,22000.00,negotiating,Creator Onboarding Flow,api-gateway,CTR-DRAFT-081,Quarterly,0,0.55,Budget approved. Wants to bring 500 edu-creators to Brainrot. Security review pending.
pipeline,2026-03-01,StudyHive,Small pilot - delayed,22000.00,delayed,Creator Onboarding Flow,api-gateway,CTR-DRAFT-081,Quarterly,0,0.40,Security review flagged missing SOC 2 + COPPA compliance gaps. Delayed until Q3.
revenue_projection,2026-04,Brainrot Pro,Projected subscriptions - April,2100.00,projected,,,,monthly,0,,"Churn offsetting new signups. Feed quality decline + content moderation gaps hurting retention."
revenue_projection,2026-04,VibeCheck Media,Projected IF deal closes,43000.00,conditional,Branded Content SDK,feed-service,CTR-DRAFT-052,,0,0.30,Monthly value if annual contract signed. Requires Branded Content SDK by April 15.
revenue_projection,2026-05,Brainrot Pro,Projected subscriptions - May,1800.00,projected,,,,monthly,0,,Continued churn from degraded feed + creator exodus to Fizz
revenue_projection,2026-05,VibeCheck Media,Projected - deal likely lost,0.00,unlikely,Branded Content SDK,feed-service,CTR-DRAFT-052,,0,0.10,If April 15 deadline missed. VibeCheck actively in talks with Fizz.
